a	39	63	47	1	43	67	69
b	13	59	48	23	84	66	51
c	21	73	3	53	94	68	88
d	31	22	0	4	92	41	50
e	46	62	12	12	69	75	34
f	53	75	47	25	74	29	2
g	82	92	15	13	69	26	28
h	21	71	4	9	56	31	43
i	73	51	21	62	92	43	63
j	89	17	54	2	47	60	26
k	81	87	32	40	60	46	91
l	80	33	45	92	24	84	19
m	67	88	26	13	84	70	13
n	27	35	34	4	84	89	91
o	55	88	95	68	7	87	6
p	45	16	89	57	38	85	41
q	36	3	95	49	51	25	45
r	55	23	85	73	14	77	89
s	76	62	60	42	57	87	73
t	34	42	51	24	95	70	33
u	91	1	54	17	61	16	44
v	33	84	91	20	49	19	36
w	62	25	85	30	45	98	72
x	37	56	67	50	20	38	32
y	71	14	19	94	90	78	68
z	16	66	53	76	33	84	10
